"","Year","Total","Total.mean","TotalVar","TotalLCI","TotalUCI","Total.se","Total.cv"
"1","1990",22023.9423493053,NA,NA,NA,NA,NA,NA
"2","1991",25562.4351532289,NA,NA,NA,NA,NA,NA
"3","1992",20988.3785807591,NA,NA,NA,NA,NA,NA
"4","1993",28686.3167283504,NA,NA,NA,NA,NA,NA
"5","1994",23654.4244168513,NA,NA,NA,NA,NA,NA
"6","1995",20416.5806904408,NA,NA,NA,NA,NA,NA
"7","1996",23477.3481744212,NA,NA,NA,NA,NA,NA
"8","1997",20692.2945004739,NA,NA,NA,NA,NA,NA
"9","1998",18225.1572916298,NA,NA,NA,NA,NA,NA
"10","1999",20317.767441062,NA,NA,NA,NA,NA,NA
"11","2000",19358.5079856604,NA,NA,NA,NA,NA,NA
"12","2001",19160.906698986,NA,NA,NA,NA,NA,NA
"13","2002",12450.078416066,NA,NA,NA,NA,NA,NA
"14","2003",10963.1289973818,NA,NA,NA,NA,NA,NA
"15","2004",14701.8995996258,NA,NA,NA,NA,NA,NA
"16","2005",10748.8684050713,NA,NA,NA,NA,NA,NA
"17","2006",6955.33159992742,NA,NA,NA,NA,NA,NA
"18","2007",3389.16868210579,NA,NA,NA,NA,NA,NA
"19","2008",5819.92958223671,NA,NA,NA,NA,NA,NA
"20","2009",6480.33132536007,NA,NA,NA,NA,NA,NA
"21","2010",4818.70298720038,NA,NA,NA,NA,NA,NA
"22","2011",4412.69816285305,NA,NA,NA,NA,NA,NA
"23","2012",3310.99480585919,NA,NA,NA,NA,NA,NA
"24","2013",2153.81114872405,NA,NA,NA,NA,NA,NA
"25","2014",1513.1304399601,NA,NA,NA,NA,NA,NA
"26","2015",1258.07628792796,NA,NA,NA,NA,NA,NA
"27","2016",2098.30989099351,NA,NA,NA,NA,NA,NA
"28","2017",1927.84018528478,NA,NA,NA,NA,NA,NA
"29","2018",1965.23939002433,NA,NA,NA,NA,NA,NA
