"","TMBbinomial","TMBdelta-Lognormal","TMBdelta-Gamma"
"1",NA,0.00364580792691188,0.00407684168246693
"2",NA,0.0193263591927996,0.0196031918587205
"3",NA,-0.00487903570139638,-0.00263381572691002
"4",NA,-0.0203149276596721,-0.0203189124344515
"5",NA,0.00670225063428575,0.0067582639543551
"6",NA,-0.0123115052342191,-0.0118302935960554
"7",NA,0.00803828929677485,0.00815283784717817
"8",NA,-0.0320997496534094,-0.0327935343934262
"9",NA,0.0186267041205677,0.0174787544822946
"10",NA,0.00936081031178223,0.00829820997697224
