"","TMBbinomial","TMBdelta-Lognormal","TMBnbinom1","NegBin","TMBnbinom2","TMBtweedie"
"1",NA,0.00507352645643509,0.00903421440851332,0.0063599773317338,0.00636002762148327,0.0067408382409017
"2",NA,-0.0147052815755613,-0.00320554077428676,-0.00870601984645105,-0.0087060203806865,-0.0132456358150816
"3",NA,-0.0164320338016928,-0.0136247780061145,-0.0157002841515217,-0.0157002711193922,-0.016414559140045
"4",NA,0.0134263212373508,0.0178251226477025,0.0166599190306959,0.0166599189812207,0.020374489396005
"5",NA,0.010915397871223,0.0180553318531217,0.0133141461732027,0.0133141453971674,0.0107337393927678
"6",NA,0.00334988749364207,0.00725715776728728,0.00586530107381288,0.00586530059321092,0.00253568280074226
"7",NA,0.0198445007399004,0.0252584596757857,0.0210421698521098,0.0210421130163367,0.0290507452357735
"8",NA,-0.0423269135894931,-0.0395676410158542,-0.0402292730538979,-0.040229263561214,-0.0408744883289255
"9",NA,0.00346700080649226,0.00923643778792418,0.00695806359626135,0.00695807637561814,0.00688726634754753
"10",NA,0.00535642244237541,0.00969751772137724,0.00616571126483437,0.00616582033671521,0.00560493593102442
